,brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
20367,Toyota,Aygo,2017,6995,Manual,24591,Petrol,145,69.0,1.0
20368,Toyota,Aygo,2016,5950,Manual,36189,Petrol,0,69.0,1.0
20369,Toyota,Aygo,2019,8450,Manual,11694,Petrol,145,56.5,1.0
20370,Toyota,Aygo,2017,6950,Manual,9697,Petrol,145,69.0,1.0
20371,Toyota,Aygo,2019,8950,Manual,9484,Petrol,145,57.7,1.0
20372,Toyota,Aygo,2019,8950,Manual,3621,Petrol,145,56.5,1.0
20373,Toyota,Aygo,2017,7850,Manual,10523,Petrol,0,69.0,1.0
20374,Toyota,Aygo,2019,9450,Manual,1762,Petrol,145,56.5,1.0
20375,Toyota,Aygo,2019,9275,Manual,4664,Petrol,145,56.5,1.0
20376,Toyota,Aygo,2018,8250,Manual,8960,Petrol,145,68.9,1.0
20377,Toyota,Aygo,2018,7950,Manual,19266,Petrol,145,68.9,1.0
20378,Toyota,Aygo,2017,7550,Manual,22095,Petrol,0,69.0,1.0
20379,Toyota,Aygo,2019,8995,Manual,729,Petrol,145,56.5,1.0
20380,Toyota,Aygo,2019,10950,Automatic,2985,Petrol,145,55.4,1.0
20381,Toyota,Aygo,2019,9450,Manual,647,Petrol,145,57.7,1.0
20382,Toyota,Aygo,2019,10250,Manual,27,Petrol,145,57.7,1.0
20383,Toyota,Aygo,2016,6950,Manual,22502,Petrol,0,69.0,1.0
20384,Toyota,Aygo,2018,7750,Manual,9249,Petrol,150,56.5,1.0
20385,Toyota,Aygo,2019,9450,Manual,6004,Petrol,150,57.7,1.0
20386,Toyota,Aygo,2017,8475,Manual,6736,Petrol,150,68.9,1.0
20387,Toyota,Aygo,2017,7250,Manual,31065,Petrol,150,68.9,1.0
20388,Toyota,Aygo,2018,8950,Manual,13079,Petrol,150,56.5,1.0
20389,Toyota,Aygo,2019,8625,Manual,2099,Petrol,145,56.5,1.0
20390,Toyota,Aygo,2019,8350,Manual,3641,Petrol,145,56.5,1.0
20391,Toyota,Aygo,2017,7450,Manual,10512,Petrol,150,68.9,1.0
20392,Toyota,Aygo,2017,6750,Manual,10632,Petrol,150,69.0,1.0
20393,Toyota,Aygo,2017,7800,Manual,15512,Petrol,150,68.9,1.0
20394,Toyota,Aygo,2017,6250,Manual,28261,Petrol,150,69.0,1.0
20395,Toyota,Aygo,2018,7250,Manual,10121,Petrol,150,69.0,1.0
20396,Toyota,Aygo,2019,9450,Manual,759,Petrol,145,57.7,1.0
20397,Toyota,Aygo,2016,7495,Manual,14700,Petrol,0,69.0,1.0
20398,Toyota,Aygo,2018,7495,Manual,18720,Petrol,145,68.9,1.0
20399,Toyota,Aygo,2018,8795,Manual,9500,Petrol,145,56.5,1.0
20400,Toyota,Aygo,2019,11295,Manual,6680,Petrol,145,56.5,1.0
20401,Toyota,Aygo,2017,8750,Semi-Auto,10826,Petrol,0,67.0,1.0
20402,Toyota,Aygo,2019,9450,Manual,315,Petrol,145,57.7,1.0
20403,Toyota,Aygo,2019,11400,Manual,7000,Petrol,145,57.7,1.0
20404,Toyota,Aygo,2016,9895,Semi-Auto,10732,Petrol,0,67.0,1.0
20405,Toyota,Aygo,2017,7395,Manual,14500,Petrol,0,69.0,1.0
20406,Toyota,Aygo,2019,9995,Manual,8200,Petrol,145,56.5,1.0
20407,Toyota,Aygo,2016,6995,Manual,26088,Petrol,0,69.0,1.0
20408,Toyota,Aygo,2017,7995,Manual,25000,Petrol,145,69.0,1.0
20409,Toyota,Aygo,2017,7850,Manual,15279,Petrol,145,68.9,1.0
20410,Toyota,Aygo,2018,8250,Manual,10696,Petrol,145,56.5,1.0
20411,Toyota,Aygo,2019,9850,Manual,2382,Petrol,145,57.7,1.0
20412,Toyota,Aygo,2018,9995,Manual,14500,Petrol,145,56.5,1.0
20413,Toyota,Aygo,2018,7995,Manual,6500,Petrol,145,56.5,1.0
20414,Toyota,Aygo,2018,7995,Manual,18000,Petrol,145,68.9,1.0
20415,Toyota,Aygo,2019,9495,Manual,5000,Petrol,145,56.5,1.0
20416,Toyota,Aygo,2018,7695,Manual,16500,Petrol,145,69.0,1.0
20417,Toyota,Aygo,2019,9950,Manual,1544,Petrol,145,57.7,1.0
20418,Toyota,Aygo,2019,9995,Manual,1998,Petrol,145,57.7,1.0
20419,Toyota,Aygo,2017,8650,Manual,14000,Petrol,150,68.9,1.0
20420,Toyota,Aygo,2014,5000,Manual,40000,Petrol,0,65.7,1.0
20421,Toyota,Aygo,2017,7450,Manual,26212,Petrol,150,68.9,1.0
20422,Toyota,Aygo,2015,6950,Manual,24481,Petrol,0,69.0,1.0
20423,Toyota,Aygo,2018,9800,Semi-Auto,13908,Petrol,145,67.3,1.0
20424,Toyota,Aygo,2016,8250,Manual,11400,Petrol,0,69.0,1.0
20425,Toyota,Aygo,2019,9500,Manual,5601,Petrol,145,56.5,1.0
20426,Toyota,Aygo,2017,9000,Manual,16500,Petrol,145,68.9,1.0
20427,Toyota,Aygo,2018,10000,Semi-Auto,8860,Petrol,150,67.0,1.0
20428,Toyota,Aygo,2016,7295,Manual,39132,Petrol,0,69.0,1.0
20429,Toyota,Aygo,2017,9000,Manual,4467,Petrol,150,68.9,1.0
20430,Toyota,Aygo,2017,9900,Manual,1000,Petrol,145,68.9,1.0
20431,Toyota,Aygo,2018,10500,Semi-Auto,9890,Petrol,145,67.3,1.0
20432,Toyota,Aygo,2019,10800,Manual,5967,Petrol,150,57.7,1.0
20433,Toyota,Aygo,2017,8100,Manual,14006,Petrol,0,68.9,1.0
20434,Toyota,Aygo,2016,9475,Semi-Auto,4179,Petrol,0,67.0,1.0
20435,Toyota,Aygo,2014,5000,Manual,49000,Petrol,0,65.7,1.0
20436,Toyota,Aygo,2016,7250,Manual,23054,Petrol,0,69.0,1.0
20437,Toyota,Aygo,2017,8990,Manual,7368,Petrol,145,68.9,1.0
20438,Toyota,Aygo,2018,7990,Manual,3889,Petrol,145,68.9,1.0
20439,Toyota,Aygo,2017,6750,Manual,23002,Petrol,150,69.0,1.0
20440,Toyota,Aygo,2018,7098,Manual,18100,Petrol,145,69.0,1.0
20441,Toyota,Aygo,2019,7995,Manual,13500,Petrol,145,56.5,1.0
20442,Toyota,Aygo,2019,9349,Manual,4000,Petrol,145,56.5,1.0
20443,Toyota,Aygo,2019,10500,Manual,4981,Petrol,150,56.5,1.0
20444,Toyota,Aygo,2019,9598,Manual,11209,Petrol,145,57.7,1.0
20445,Toyota,Aygo,2018,8265,Manual,8910,Petrol,150,68.9,1.0
20446,Toyota,Aygo,2017,8500,Semi-Auto,33443,Petrol,0,67.0,1.0
20447,Toyota,Aygo,2018,11795,Semi-Auto,10234,Petrol,145,56.5,1.0
20448,Toyota,Aygo,2016,6750,Manual,52249,Petrol,0,69.0,1.0
20449,Toyota,Aygo,2018,9750,Manual,6000,Petrol,145,56.5,1.0
20450,Toyota,Aygo,2014,6890,Semi-Auto,24500,Petrol,0,67.0,1.0
20451,Toyota,Aygo,2017,7990,Manual,31404,Petrol,150,68.9,1.0
20452,Toyota,Aygo,2015,7925,Semi-Auto,29600,Petrol,0,67.0,1.0
20453,Toyota,Aygo,2014,5690,Manual,28019,Petrol,0,69.0,1.0
20454,Toyota,Aygo,2017,8300,Manual,9526,Petrol,145,68.9,1.0
20455,Toyota,Aygo,2016,6295,Manual,35336,Petrol,0,69.0,1.0
20456,Toyota,Aygo,2018,8345,Manual,21512,Petrol,145,56.5,1.0
20457,Toyota,Aygo,2019,9550,Manual,100,Petrol,145,56.5,1.0
